"","workflowid","gsm_version","param","index","default","configurable","gsm_analysis_date"
"1","kri0001","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"2","kri0001","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"3","kri0001","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"4","kri0001","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"5","kri0001","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"6","kri0001","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"7","kri0002","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"8","kri0002","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"9","kri0002","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"10","kri0002","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"11","kri0002","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"12","kri0002","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"13","kri0003","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"14","kri0003","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"15","kri0003","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"16","kri0003","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"17","kri0003","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"18","kri0003","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"19","kri0004","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"20","kri0004","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"21","kri0004","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"22","kri0004","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"23","kri0004","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"24","kri0004","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"25","kri0005","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"26","kri0005","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"27","kri0005","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"28","kri0005","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"29","kri0005","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"30","kri0005","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"31","kri0006","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"32","kri0006","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"33","kri0006","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"34","kri0006","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"35","kri0006","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"36","kri0006","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"37","kri0007","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"38","kri0007","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"39","kri0007","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"40","kri0007","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"41","kri0007","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"42","kri0007","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"43","kri0008","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"44","kri0008","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"45","kri0008","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"46","kri0008","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"47","kri0008","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"48","kri0008","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"49","kri0009","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"50","kri0009","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"51","kri0009","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"52","kri0009","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"53","kri0009","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"54","kri0009","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"55","kri0010","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"56","kri0010","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"57","kri0010","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"58","kri0010","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"59","kri0010","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"60","kri0010","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"61","kri0011","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"62","kri0011","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"63","kri0011","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"64","kri0011","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"65","kri0011","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"66","kri0011","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"67","kri0012","1.6.0","strGroup",NA,"Site",FALSE,"2018-12-01"
"68","kri0012","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"69","kri0012","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"70","kri0012","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"71","kri0012","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"72","kri0012","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"73","cou0001","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"74","cou0001","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"75","cou0001","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"76","cou0001","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"77","cou0001","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"78","cou0001","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"79","cou0002","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"80","cou0002","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"81","cou0002","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"82","cou0002","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"83","cou0002","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"84","cou0002","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"85","cou0003","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"86","cou0003","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"87","cou0003","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"88","cou0003","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"89","cou0003","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"90","cou0003","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"91","cou0004","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"92","cou0004","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"93","cou0004","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"94","cou0004","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"95","cou0004","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"96","cou0004","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"97","cou0005","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"98","cou0005","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"99","cou0005","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"100","cou0005","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"101","cou0005","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"102","cou0005","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"103","cou0006","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"104","cou0006","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"105","cou0006","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"106","cou0006","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"107","cou0006","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"108","cou0006","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"109","cou0007","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"110","cou0007","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"111","cou0007","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"112","cou0007","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"113","cou0007","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"114","cou0007","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"115","cou0008","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"116","cou0008","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"117","cou0008","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"118","cou0008","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"119","cou0008","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"120","cou0008","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"121","cou0009","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"122","cou0009","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"123","cou0009","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"124","cou0009","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"125","cou0009","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"126","cou0009","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"127","cou0010","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"128","cou0010","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"129","cou0010","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"130","cou0010","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"131","cou0010","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"132","cou0010","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"133","cou0011","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"134","cou0011","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"135","cou0011","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"136","cou0011","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"137","cou0011","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"138","cou0011","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"139","cou0012","1.6.0","strGroup",NA,"Country",FALSE,"2018-12-01"
"140","cou0012","1.6.0","vThreshold",1,"-3",TRUE,"2018-12-01"
"141","cou0012","1.6.0","vThreshold",2,"-2",TRUE,"2018-12-01"
"142","cou0012","1.6.0","vThreshold",3,"2",TRUE,"2018-12-01"
"143","cou0012","1.6.0","vThreshold",4,"3",TRUE,"2018-12-01"
"144","cou0012","1.6.0","strMethod",NA,"NormalApprox",FALSE,"2018-12-01"
"145","qtl0004","1.6.0","strGroup",NA,"Study",FALSE,"2018-12-01"
"146","qtl0004","1.6.0","vThreshold",1,"0.01",TRUE,"2018-12-01"
"147","qtl0004","1.6.0","strMethod",NA,"qtl",FALSE,"2018-12-01"
"148","qtl0004","1.6.0","strOutcome",NA,"rate",FALSE,"2018-12-01"
"149","qtl0006","1.6.0","strGroup",NA,"Study",FALSE,"2018-12-01"
"150","qtl0006","1.6.0","vThreshold",1,"0.2",TRUE,"2018-12-01"
"151","qtl0006","1.6.0","strMethod",NA,"qtl",FALSE,"2018-12-01"
"152","qtl0006","1.6.0","strOutcome",NA,"rate",FALSE,"2018-12-01"
